,State,County,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
1134, LA,EAST FELICIANA PARISH,267,19683,1356.5,1149.9,0.01%
1135, LA,EVANGELINE PARISH,374,33709,1109.5,1014.49,0.01%
1136, LA,FRANKLIN PARISH,281,20330,1382.19,1088.66,0.01%
1137, LA,GRANT PARISH,204,22365,912.14,869.26,0.01%
1138, LA,IBERIA PARISH,731,73273,997.64,947.39,0.03%
1139, LA,IBERVILLE PARISH,350,32920,1063.18,952.35,0.01%
1140, LA,JACKSON PARISH,197,15808,1246.2,909.34,0.01%
1141, LA,JEFFERSON PARISH,4181,436523,957.8,793,0.15%
1142, LA,JEFFERSON DAVIS PARISH,377,31413,1200.14,1015.34,0.01%
1143, LA,LAFAYETTE PARISH,1700,241398,704.23,740.93,0.06%
1144, LA,LAFOURCHE PARISH,862,98305,876.86,785.21,0.03%
1145, LA,LASALLE PARISH,161,15052,1069.63,870.53,0.01%
1146, LA,LINCOLN PARISH,366,47745,766.57,766.57,0.01%
1147, LA,LIVINGSTON PARISH,1079,140138,769.96,851.97,0.04%
1148, LA,MADISON PARISH,131,11528,1136.36,1075.41,0.00%
1149, LA,MOREHOUSE PARISH,338,26071,1296.46,1002.52,0.01%
1150, LA,NATCHITOCHES PARISH,435,39162,1110.77,991.97,0.02%
1151, LA,ORLEANS PARISH,3273,391495,836.03,814.58,0.12%
1152, LA,OUACHITA PARISH,1617,156983,1030.05,970.56,0.06%
1153, LA,PLAQUEMINES PARISH,176,23464,750.09,734.51,0.01%
1154, LA,POINTE COUPEE PARISH,260,22159,1173.34,893.59,0.01%
1155, LA,RAPIDES PARISH,1480,132424,1117.62,972.67,0.05%
1156, LA,RED RIVER PARISH,100,8550,1169.59,927.44,0.00%
1157, LA,RICHLAND PARISH,216,20430,1057.27,882.73,0.01%
1158, LA,SABINE PARISH,254,23977,1059.35,797.6,0.01%
1159, LA,ST. BERNARD PARISH,378,45688,827.35,922.81,0.01%
1160, LA,ST. CHARLES PARISH,407,52923,769.04,781.3,0.01%
1161, LA,ST. HELENA PARISH,137,10512,1303.27,1056.39,0.00%
1162, LA,ST. JAMES PARISH,227,21557,1053.02,901.01,0.01%
1163, LA,ST. JOHN THE BAPTIST PARISH,412,43631,944.28,905.05,0.02%
1164, LA,ST. LANDRY PARISH,998,83883,1189.75,1056.6,0.04%
1165, LA,ST. MARTIN PARISH,507,54007,938.77,871.92,0.02%
1166, LA,ST. MARY PARISH,544,52093,1044.29,905.79,0.02%
1167, LA,ST. TAMMANY PARISH,2122,253602,836.74,736.91,0.08%
1168, LA,TANGIPAHOA PARISH,1282,130710,980.8,981.84,0.05%
1169, LA,TENSAS PARISH,72,4597,1566.24,1129.67,0.00%
1170, LA,TERREBONNE PARISH,976,113220,862.04,839.73,0.04%
1171, LA,UNION PARISH,276,22487,1227.38,917.06,0.01%
1172, LA,VERMILION PARISH,566,60205,940.12,838.81,0.02%
1173, LA,VERNON PARISH,428,50569,846.37,988,0.02%
1174, LA,WASHINGTON PARISH,602,46310,1299.94,1078.22,0.02%
1175, LA,WEBSTER PARISH,554,39710,1395.11,1023.77,0.02%
1176, LA,WEST BATON ROUGE PARISH,205,25795,794.73,804.55,0.01%
1177, LA,WEST CARROLL PARISH,167,11114,1502.61,1140,0.01%
1178, LA,WEST FELICIANA PARISH,130,15344,847.24,733.39,0.00%
1179, LA,WINN PARISH,175,14376,1217.31,985.19,0.01%
1180, ME,ANDROSCOGGIN ,1143,107319,1065.05,842.94,0.04%
1181, ME,AROOSTOOK ,886,67959,1303.73,817.37,0.03%
1182, ME,CUMBERLAND ,2631,292041,900.9,679.84,0.10%
1183, ME,FRANKLIN ,337,30001,1123.3,793.86,0.01%
1184, ME,HANCOCK ,575,54419,1056.62,684.37,0.02%
1185, ME,KENNEBEC ,1263,120569,1047.53,780.53,0.05%
1186, ME,KNOX ,487,39744,1225.34,727.62,0.02%
1187, ME,LINCOLN ,436,34216,1274.26,738.62,0.02%
1188, ME,OXFORD ,671,57217,1172.73,795.12,0.02%
1189, ME,PENOBSCOT ,1657,151806,1091.52,812.27,0.06%
1190, ME,PISCATAQUIS ,235,16843,1395.24,846.93,0.01%
1191, ME,SAGADAHOC ,374,35273,1060.3,719.59,0.01%
1192, ME,SOMERSET ,665,50915,1306.1,944.88,0.02%
1193, ME,WALDO ,367,39364,932.32,677.48,0.01%
1194, ME,WASHINGTON ,443,31450,1408.59,944.45,0.02%
1195, ME,YORK ,2012,202343,994.35,721.56,0.07%
1196, MD,ALLEGANY ,938,72130,1300.43,923.35,0.03%
1197, MD,ANNE ARUNDEL ,4373,568346,769.43,723.09,0.16%
1198, MD,BALTIMORE ,8442,831026,1015.85,776.5,0.31%
1199, MD,CALVERT ,721,91251,790.13,741.94,0.03%
1200, MD,CAROLINE ,337,32850,1025.88,855.07,0.01%
1201, MD,CARROLL ,1601,167656,954.93,774.82,0.06%
1202, MD,CECIL ,939,102603,915.18,851.93,0.03%
1203, MD,CHARLES ,1080,157705,684.82,737.22,0.04%
1204, MD,DORCHESTER ,405,32258,1255.5,876.65,0.01%
1205, MD,FREDERICK ,1954,247591,789.2,735.57,0.07%
1206, MD,GARRETT ,331,29425,1124.89,763.47,0.01%
1207, MD,HARFORD ,2186,251032,870.81,757.94,0.08%
1208, MD,HOWARD ,1596,317233,503.1,512.78,0.06%
1209, MD,KENT ,258,19730,1307.65,746.29,0.01%
1210, MD,MONTGOMERY ,6023,1043863,576.99,482.76,0.22%
1211, MD,PRINCE GEORGE'S ,5961,908049,656.46,693.06,0.22%
1212, MD,QUEEN ANNE'S ,429,48929,876.78,719.57,0.02%
1213, MD,ST. MARY'S ,757,112587,672.37,686.52,0.03%
1214, MD,SOMERSET ,256,25928,987.35,847.9,0.01%
1215, MD,TALBOT ,397,37278,1064.97,557.81,0.01%
1216, MD,WASHINGTON ,1528,150292,1016.69,798.84,0.06%
1217, MD,WICOMICO ,1014,102577,988.53,882.25,0.04%
1218, MD,WORCESTER ,649,51444,1261.57,763.63,0.02%
1219, MD,BALTIMORE CITY,6649,614664,1081.73,1039.61,0.24%
1220, MA,BARNSTABLE ,2938,214276,1371.13,693.21,0.11%
1221, MA,BERKSHIRE ,1445,126903,1138.66,696,0.05%
1222, MA,BRISTOL ,5320,558324,952.85,748.03,0.19%
1223, MA,DUKES ,156,17246,904.56,620.59,0.01%
1224, MA,ESSEX ,6692,779018,859.03,665.18,0.24%
1225, MA,FRANKLIN ,719,70382,1021.57,732.08,0.03%
1226, MA,HAMPDEN ,4441,468467,947.99,747.1,0.16%
1227, MA,HAMPSHIRE ,1225,161816,757.03,633.75,0.04%
1228, MA,MIDDLESEX ,11476,1589774,721.86,605.52,0.42%
1229, MA,NANTUCKET ,71,11008,644.99,558.92,0.00%
1230, MA,NORFOLK ,5873,697181,842.39,624.23,0.21%
1231, MA,PLYMOUTH ,4741,513565,923.15,727.66,0.17%
1232, MA,SUFFOLK ,4778,784230,609.26,646.89,0.17%
1233, MA,WORCESTER ,7086,819589,864.58,725.67,0.26%
1234, MI,ALCONA ,179,10352,1729.13,820.7,0.01%
1235, MI,ALGER ,108,9219,1171.49,688.96,0.00%
1236, MI,ALLEGAN ,1025,115548,887.08,756.15,0.04%
1237, MI,ALPENA ,372,28704,1295.99,763.99,0.01%
1238, MI,ANTRIM ,261,23144,1127.72,658.79,0.01%
1239, MI,ARENAC ,228,15122,1507.74,935.8,0.01%
1240, MI,BARAGA ,105,8503,1234.86,899.08,0.00%
1241, MI,BARRY ,573,59702,959.77,753.72,0.02%
1242, MI,BAY ,1285,104747,1226.77,847.35,0.05%
1243, MI,BENZIE ,182,17572,1035.74,611.2,0.01%
1244, MI,BERRIEN ,1796,154010,1166.16,838.8,0.07%
1245, MI,BRANCH ,479,43427,1103,890.56,0.02%
1246, MI,CALHOUN ,1519,134386,1130.33,875.84,0.06%
1247, MI,CASS ,526,51599,1019.4,758.06,0.02%
1248, MI,CHARLEVOIX ,266,26174,1016.28,661.35,0.01%
1249, MI,CHEBOYGAN ,317,25401,1247.98,710,0.01%
1250, MI,CHIPPEWA ,336,37724,890.68,723.28,0.01%
1251, MI,CLARE ,451,30358,1485.61,975.05,0.02%
1252, MI,CLINTON ,603,77888,774.19,630.14,0.02%
1253, MI,CRAWFORD ,165,13744,1200.52,804.26,0.01%
1254, MI,DELTA ,468,36202,1292.75,765.28,0.02%
1255, MI,DICKINSON ,329,25535,1288.43,765.63,0.01%
1256, MI,EATON ,984,109160,901.43,715.13,0.04%
1257, MI,EMMET ,392,33182,1181.36,748.79,0.01%
1258, MI,GENESEE ,4516,408615,1105.2,899.73,0.16%
1259, MI,GLADWIN ,367,25122,1460.87,888.52,0.01%
1260, MI,GOGEBIC ,197,15243,1292.4,785.39,0.01%
1261, MI,GRAND TRAVERSE ,868,92084,942.62,696,0.03%
1262, MI,GRATIOT ,432,41202,1048.49,763.42,0.02%
1263, MI,HILLSDALE ,493,45774,1077.03,819.62,0.02%
1264, MI,HOUGHTON ,353,36555,965.67,774.4,0.01%
1265, MI,HURON ,452,31481,1435.79,829.87,0.02%
1266, MI,INGHAM ,2059,288051,714.8,732.58,0.08%
1267, MI,IONIA ,567,64232,882.74,858.87,0.02%
1268, MI,IOSCO ,423,25327,1670.15,912.05,0.02%
1269, MI,IRON ,198,11195,1768.65,860.63,0.01%
1270, MI,ISABELLA ,500,71282,701.44,773.62,0.02%
1271, MI,JACKSON ,1740,158460,1098.07,859.84,0.06%
1272, MI,KALAMAZOO ,2186,261654,835.45,742.26,0.08%
1273, MI,KALKASKA ,208,17263,1204.89,937.92,0.01%
1274, MI,KENT ,4813,642173,749.49,710.53,0.18%
1275, MI,KEWEENAW ,25,2199,1136.88,586.13,0.00%
1276, MI,LAKE ,151,11496,1313.5,788.86,0.01%
1277, MI,LAPEER ,889,88340,1006.34,835.93,0.03%
1278, MI,LEELANAU ,221,21765,1015.39,484.45,0.01%
1279, MI,LENAWEE ,1085,98504,1101.48,854.04,0.04%
1280, MI,LIVINGSTON ,1426,188624,756,654.01,0.05%
1281, MI,LUCE ,91,6358,1431.27,964.93,0.00%
1282, MI,MACKINAC ,137,10820,1266.17,780.59,0.00%
1283, MI,MACOMB ,8694,867730,1001.92,788.32,0.32%
1284, MI,MANISTEE ,323,24373,1325.24,809.76,0.01%
1285, MI,MARQUETTE ,690,66435,1038.61,773.24,0.03%
1286, MI,MASON ,338,28876,1170.52,763.86,0.01%
1287, MI,MECOSTA ,399,43221,923.16,759.63,0.01%
1288, MI,MENOMINEE ,270,23281,1159.74,652.76,0.01%
1289, MI,MIDLAND ,797,83462,954.93,700.06,0.03%
1290, MI,MISSAUKEE ,156,15102,1032.98,736.18,0.01%
1291, MI,MONROE ,1458,149208,977.16,777.52,0.05%
1292, MI,MONTCALM ,616,62974,978.18,795.5,0.02%
1293, MI,MONTMORENCY ,168,9173,1831.46,1009.11,0.01%
1294, MI,MUSKEGON ,1707,173408,984.38,821.31,0.06%
1295, MI,NEWAYGO ,485,47938,1011.72,766.17,0.02%
1296, MI,OAKLAND ,10516,1243970,845.36,679.71,0.38%
1297, MI,OCEANA ,292,26027,1121.91,835.4,0.01%
1298, MI,OGEMAW ,349,20904,1669.54,1010.79,0.01%
1299, MI,ONTONAGON ,113,5911,1911.69,883.62,0.00%
1300, MI,OSCEOLA ,243,23110,1051.49,770.64,0.01%
1301, MI,OSCODA ,128,8264,1548.89,874.43,0.00%
1302, MI,OTSEGO ,266,24470,1087.05,781.12,0.01%
1303, MI,OTTAWA ,1922,282250,680.96,616.07,0.07%
1304, MI,PRESQUE ISLE ,198,12762,1551.48,714.81,0.01%
1305, MI,ROSCOMMON ,445,23700,1877.64,1024.46,0.02%
1306, MI,SAGINAW ,2132,192326,1108.53,816.16,0.08%
1307, MI,ST. CLAIR ,1774,159587,1111.62,851.78,0.06%
1308, MI,ST. JOSEPH ,678,60853,1114.16,874.04,0.02%
1309, MI,SANILAC ,527,41409,1272.67,890.09,0.02%
1310, MI,SCHOOLCRAFT ,112,8001,1399.83,749.24,0.00%
1311, MI,SHIAWASSEE ,729,68554,1063.4,836.56,0.03%
1312, MI,TUSCOLA ,618,53338,1158.65,826.5,0.02%
1313, MI,VAN BUREN ,779,75223,1035.59,840.79,0.03%
1314, MI,WASHTENAW ,2274,364709,623.51,627.24,0.08%
1315, MI,WAYNE ,18359,1749366,1049.47,914.44,0.67%
1316, MI,WEXFORD ,330,33163,995.08,744.6,0.01%
1317, MN,AITKIN ,246,15583,1578.64,885.23,0.01%
1318, MN,ANOKA ,2081,345957,601.52,615.14,0.08%
1319, MN,BECKER ,328,33734,972.31,698.47,0.01%
1320, MN,BELTRAMI ,387,46106,839.37,736.42,0.01%
1321, MN,BENTON ,353,39992,882.68,704.73,0.01%
1322, MN,BIG STONE ,71,5050,1405.94,662.95,0.00%
1323, MN,BLUE EARTH ,527,66441,793.18,693.65,0.02%
1324, MN,BROWN ,284,25331,1121.16,606.96,0.01%
1325, MN,CARLTON ,387,35738,1082.88,829.88,0.01%
1326, MN,CARVER ,495,100262,493.71,560.81,0.02%
1327, MN,CASS ,334,28993,1152,758.88,0.01%
1328, MN,CHIPPEWA ,156,12133,1285.75,721.04,0.01%
1329, MN,CHISAGO ,402,54748,734.27,636.09,0.01%
1330, MN,CLAY ,474,62875,753.88,681.46,0.02%
1331, MN,CLEARWATER ,93,8827,1053.59,737.17,0.00%
1332, MN,COOK ,53,5286,1002.65,599.19,0.00%
1333, MN,COTTONWOOD ,127,11470,1107.24,579.15,0.00%
1334, MN,CROW WING ,707,63940,1105.72,709.25,0.03%
1335, MN,DAKOTA ,2558,417486,612.72,590.84,0.09%
1336, MN,DODGE ,134,20506,653.47,576.74,0.00%
1337, MN,DOUGLAS ,441,37456,1177.38,696.32,0.02%
1338, MN,FARIBAULT ,190,13935,1363.47,731.08,0.01%
1339, MN,FILLMORE ,228,21003,1085.56,641.41,0.01%
1340, MN,FREEBORN ,366,30446,1202.13,723.21,0.01%
1341, MN,GOODHUE ,463,46676,991.94,640.91,0.02%
1342, MN,GRANT ,71,5956,1192.08,676.91,0.00%
1343, MN,HENNEPIN ,8557,1232483,694.29,634.22,0.31%
1344, MN,HOUSTON ,163,18814,866.38,535.26,0.01%
1345, MN,HUBBARD ,209,20718,1008.78,657.65,0.01%
1346, MN,ISANTI ,334,39025,855.86,723.69,0.01%
1347, MN,ITASCA ,500,45242,1105.17,691.57,0.02%
1348, MN,JACKSON ,106,9944,1065.97,618.74,0.00%
1349, MN,KANABEC ,170,15830,1073.91,807.44,0.01%
1350, MN,KANDIYOHI ,380,42495,894.22,618.44,0.01%
1351, MN,KITTSON ,55,4333,1269.33,634.92,0.00%
1352, MN,KOOCHICHING ,157,12628,1243.27,729.99,0.01%
1353, MN,LAC QUI PARLE ,82,6715,1221.15,590.26,0.00%
1354, MN,LAKE ,136,10625,1280,682.48,0.00%
1355, MN,LAKE OF THE WOODS ,41,3814,1074.99,630.03,0.00%
1356, MN,LE SUEUR ,233,27591,844.48,683.73,0.01%
1357, MN,LINCOLN ,86,5783,1487.12,645.04,0.00%
1358, MN,LYON ,232,25699,902.76,676.16,0.01%
1359, MN,MCLEOD ,359,35842,1001.62,661.09,0.01%
1360, MN,MAHNOMEN ,59,5465,1079.6,904.6,0.00%
1361, MN,MARSHALL ,78,9324,836.55,542.47,0.00%
1362, MN,MARTIN ,246,19829,1240.61,652.34,0.01%
1363, MN,MEEKER ,218,23110,943.31,647.05,0.01%
1364, MN,MILLE LACS ,334,25866,1291.27,920.91,0.01%
1365, MN,MORRISON ,310,32821,944.52,655.66,0.01%
1366, MN,MOWER ,419,39163,1069.89,691.05,0.02%
1367, MN,MURRAY ,89,8329,1068.56,539.43,0.00%
1368, MN,NICOLLET ,223,33575,664.18,543.33,0.01%
1369, MN,NOBLES ,167,21848,764.37,572.17,0.01%
1370, MN,NORMAN ,98,6579,1489.59,817.75,0.00%
1371, MN,OLMSTED ,1078,153102,704.11,578.82,0.04%
1372, MN,OTTER TAIL ,672,58085,1156.93,656.24,0.02%
1373, MN,PENNINGTON ,134,14235,941.34,661.83,0.00%
1374, MN,PINE ,302,28874,1045.92,754.2,0.01%
1375, MN,PIPESTONE ,121,9202,1314.93,725.98,0.00%
1376, MN,POLK ,340,31660,1073.91,751.7,0.01%
1377, MN,POPE ,131,11049,1185.63,681.29,0.00%
1378, MN,RAMSEY ,4108,540649,759.83,678.25,0.15%
1379, MN,RED LAKE ,29,4007,723.73,517.89,0.00%
1380, MN,REDWOOD ,203,15263,1330.01,742.92,0.01%
1381, MN,RENVILLE ,189,14660,1289.22,764.37,0.01%
1382, MN,RICE ,495,65622,754.32,639.08,0.02%
1383, MN,ROCK ,110,9564,1150.15,662.98,0.00%
1384, MN,ROSEAU ,136,15626,870.34,674.78,0.00%
1385, MN,ST. LOUIS ,2094,199980,1047.1,755.6,0.08%
1386, MN,SCOTT ,721,143680,501.81,620.83,0.03%
1387, MN,SHERBURNE ,523,93528,559.19,664.28,0.02%
1388, MN,SIBLEY ,163,14827,1099.35,736.73,0.01%
1389, MN,STEARNS ,1026,155652,659.16,588,0.04%
1390, MN,STEELE ,296,36805,804.24,572.7,0.01%
1391, MN,STEVENS ,79,9693,815.02,515.91,0.00%
1392, MN,SWIFT ,117,9419,1242.17,680.87,0.00%
1393, MN,TODD ,224,24233,924.36,652.78,0.01%
1394, MN,TRAVERSE ,47,3356,1400.48,664.7,0.00%
1395, MN,WABASHA ,180,21273,846.14,569.18,0.01%
1396, MN,WADENA ,208,13761,1511.52,924.97,0.01%
1397, MN,WASECA ,180,18911,951.83,652.23,0.01%
1398, MN,WASHINGTON ,1611,253117,636.46,593.14,0.06%
1399, MN,WATONWAN ,104,10908,953.43,577.3,0.00%
1400, MN,WILKIN ,75,6358,1179.62,737.82,0.00%
1401, MN,WINONA ,430,50948,844,666.94,0.02%
1402, MN,WRIGHT ,835,132550,629.95,673.46,0.03%
1403, MN,YELLOW MEDICINE ,120,9935,1207.85,711.27,0.00%
1404, MS,ADAMS ,416,31248,1331.29,991.56,0.02%
1405, MS,ALCORN ,472,37304,1265.28,1053.08,0.02%
1406, MS,AMITE ,171,12458,1372.61,913.19,0.01%
1407, MS,ATTALA ,297,18934,1568.61,1104.87,0.01%
1408, MS,BENTON ,115,8264,1391.58,1074.11,0.00%
1409, MS,BOLIVAR ,401,32737,1224.91,1109.45,0.01%
1410, MS,CALHOUN ,166,14610,1136.21,842.88,0.01%
1411, MS,CARROLL ,104,10255,1014.14,699.71,0.00%
1412, MS,CHICKASAW ,208,17246,1206.08,1005.81,0.01%
1413, MS,CHOCTAW ,111,8242,1346.76,950.01,0.00%
1414, MS,CLAIBORNE ,104,9139,1137.98,1006.48,0.00%
1415, MS,CLARKE ,240,15888,1510.57,1138.22,0.01%
1416, MS,CLAY ,236,19850,1188.92,924.95,0.01%
1417, MS,COAHOMA ,277,23809,1163.43,1042.81,0.01%
1418, MS,COPIAH ,362,28482,1270.98,1063.78,0.01%
1419, MS,COVINGTON ,276,19569,1410.39,1129.38,0.01%
1420, MS,DESOTO ,1401,175611,797.79,870.69,0.05%
1421, MS,FORREST ,788,75979,1037.13,1000.69,0.03%
1422, MS,FRANKLIN ,83,7782,1066.56,802.76,0.00%
1423, MS,GEORGE ,266,23695,1122.6,1171.52,0.01%
1424, MS,GREENE ,164,13408,1223.15,1160.48,0.01%
1425, MS,GRENADA ,285,21275,1339.6,1098.12,0.01%
1426, MS,HANCOCK ,543,46791,1160.48,913.25,0.02%
1427, MS,HARRISON ,1986,203234,977.2,910.25,0.07%
1428, MS,HINDS ,2295,241229,951.38,925.1,0.08%
1429, MS,HOLMES ,202,17999,1122.28,990.87,0.01%
1430, MS,HUMPHREYS ,98,8513,1151.18,1035.57,0.00%
1431, MS,ISSAQUENA ,Suppressed,1294,Suppressed,Suppressed,Suppressed
1432, MS,ITAWAMBA ,315,23529,1338.77,1058.52,0.01%
1433, MS,JACKSON ,1315,141241,931.03,863.5,0.05%
1434, MS,JASPER ,209,16578,1260.71,935.23,0.01%
1435, MS,JEFFERSON ,95,7297,1301.9,1060.3,0.00%
1436, MS,JEFFERSON DAVIS ,165,11385,1449.28,1098.9,0.01%
1437, MS,JONES ,746,67953,1097.82,939.96,0.03%
1438, MS,KEMPER ,101,9896,1020.61,809.62,0.00%
1439, MS,LAFAYETTE ,359,53796,667.34,759.13,0.01%
1440, MS,LAMAR ,461,60914,756.8,816.54,0.02%
1441, MS,LAUDERDALE ,843,77755,1084.17,888.25,0.03%
1442, MS,LAWRENCE ,168,12749,1317.75,1135.82,0.01%
1443, MS,LEAKE ,245,22620,1083.11,963.41,0.01%
1444, MS,LEE ,928,85381,1086.89,974.5,0.03%
1445, MS,LEFLORE ,392,29856,1312.97,1228.29,0.01%
