State,County,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
AZ,Greenlee,52,9613,540.93,564.19,0.00%
AZ,La Paz,272,20317,1338.78,791.43,0.01%
AZ,Maricopa,30748,4242997,724.68,657.39,1.12%
AZ,Mohave,3250,205249,1583.44,910.05,0.12%
AZ,Navajo,1016,110026,923.42,836.75,0.04%
AZ,Pima,9508,1016206,935.64,691.26,0.35%
AZ,Pinal,3023,418540,722.27,582.17,0.11%
AZ,Santa Cruz,303,45985,658.91,540.99,0.01%
AZ,Yavapai,2968,225562,1315.82,713.44,0.11%
AZ,Yuma,1510,205631,734.33,565.22,0.06%
CA,Alameda,9920,1647704,602.05,571.37,0.36%
CA,Alpine,14,1071,Unreliable,Unreliable,0.00%
CA,Amador,448,37383,1198.41,704.39,0.02%
CA,Butte,2440,226864,1075.53,805.71,0.09%
CA,Calaveras,530,45171,1173.32,716.82,0.02%
CA,Colusa,161,21588,745.78,684.42,0.01%
CA,Contra Costa,7713,1135127,679.48,580.64,0.28%
CA,Del Norte,299,27540,1085.69,879.73,0.01%
CA,El Dorado,1520,185625,818.86,607.4,0.06%
CA,Fresno,6717,979915,685.47,719.09,0.24%
CA,Glenn,257,28085,915.08,775.07,0.01%
CA,Humboldt,1373,136646,1004.79,851.18,0.05%
CA,Imperial,1121,180883,619.74,611.17,0.04%
CA,Inyo,230,18144,1267.64,793.46,0.01%
CA,Kern,6038,884788,682.42,823.61,0.22%
CA,Kings,832,149785,555.46,691.59,0.03%
CA,Lake,853,64116,1330.4,922.95,0.03%
CA,Lassen,253,30870,819.57,748.53,0.01%
CA,Los Angeles,63185,10137915,623.25,589.27,2.30%
CA,Madera,1105,154697,714.3,717.16,0.04%
CA,Marin,1905,260651,730.86,463.86,0.07%
CA,Mariposa,214,17410,1229.18,803.1,0.01%
CA,Mendocino,873,87628,996.26,725,0.03%
CA,Merced,1850,268672,688.57,788.68,0.07%
CA,Modoc,128,8795,1455.37,924.71,0.00%
CA,Mono,51,13981,364.78,337.9,0.00%
CA,Monterey,2573,435232,591.18,569.22,0.09%
CA,Napa,1242,142166,873.63,620.86,0.05%
CA,Nevada,1023,99107,1032.22,615.28,0.04%
CA,Orange,19588,3172532,617.42,549.5,0.71%
CA,Placer,3207,380531,842.77,595.31,0.12%
CA,Plumas,217,18627,1164.98,720.73,0.01%
CA,Riverside,16227,2387741,679.6,635.61,0.59%
CA,Sacramento,11260,1514460,743.5,691.69,0.41%
CA,San Benito,340,59414,572.26,597.62,0.01%
CA,San Bernardino,14109,2140096,659.27,750.04,0.51%
CA,San Diego,21420,3317749,645.62,594.16,0.78%
CA,San Francisco,5813,870887,667.48,539.41,0.21%
CA,San Joaquin,5494,733709,748.8,764.84,0.20%
CA,San Luis Obispo,2411,282887,852.28,611.18,0.09%
CA,San Mateo,4737,764797,619.38,498.12,0.17%
CA,Santa Barbara,3156,446170,707.35,582.79,0.12%
CA,Santa Clara,10120,1919402,527.25,500.29,0.37%
CA,Santa Cruz,1744,274673,634.94,566.89,0.06%
CA,Shasta,2270,179631,1263.7,885.09,0.08%
CA,Sierra,36,2947,1221.58,663.6,0.00%
CA,Siskiyou,614,43603,1408.16,892.79,0.02%
CA,Solano,3271,440207,743.06,672.81,0.12%
CA,Sonoma,4156,503070,826.13,606.71,0.15%
CA,Stanislaus,4294,541560,792.89,793.7,0.16%
CA,Sutter,869,96651,899.11,771.68,0.03%
CA,Tehama,693,63276,1095.2,827.93,0.03%
CA,Trinity,154,12782,1204.82,788.42,0.01%
CA,Tulare,3023,460437,656.55,754.01,0.11%
CA,Tuolumne,657,53804,1221.1,759.54,0.02%
CA,Ventura,5563,849738,654.67,572.65,0.20%
CA,Yolo,1290,215802,597.77,615.5,0.05%
CA,Yuba,639,75275,848.89,926.75,0.02%
CO,Adams,2987,498187,599.57,760.35,0.11%
CO,Alamosa,155,16654,930.71,954.15,0.01%
CO,Arapahoe,3903,637068,612.65,636.38,0.14%
CO,Archuleta,105,12854,816.87,589.51,0.00%
CO,Baca,45,3568,1261.21,574.61,0.00%
CO,Bent,65,5861,1109.03,831.69,0.00%
CO,Boulder,1807,322226,560.79,559.51,0.07%
CO,Broomfield,345,66529,518.57,521.67,0.01%
CO,Chaffee,183,19058,960.23,636.58,0.01%
CO,Cheyenne,15,1848,Unreliable,Unreliable,0.00%
CO,Clear Creek,57,9436,604.07,505.96,0.00%
CO,Conejos,83,8129,1021.04,830.07,0.00%
CO,Costilla,35,3721,940.61,662.62,0.00%
CO,Crowley,51,5694,895.68,897.68,0.00%
CO,Custer,46,4602,999.57,619.34,0.00%
CO,Delta,388,30442,1274.55,781.24,0.01%
CO,Denver,4604,693060,664.3,725.93,0.17%
CO,Dolores,20,2056,972.76,701.27,0.00%
CO,Douglas,1379,328632,419.62,513.75,0.05%
CO,Eagle,111,53989,205.6,299.93,0.00%
CO,El Paso,4705,688284,683.58,737.6,0.17%
CO,Elbert,143,25231,566.76,577.77,0.01%
CO,Fremont,565,47446,1190.83,812.17,0.02%
CO,Garfield,331,58887,562.09,630.41,0.01%
CO,Gilpin,29,5931,488.96,448.71,0.00%
CO,Grand,48,15008,319.83,330.95,0.00%
CO,Gunnison,73,16408,444.9,552.67,0.00%
CO,Hinsdale,Suppressed,788,Suppressed,Suppressed,Suppressed
CO,Huerfano,102,6677,1527.63,933.56,0.00%
CO,Jackson,12,1357,Unreliable,Unreliable,0.00%
CO,Jefferson,4348,571837,760.36,655.87,0.16%
CO,Kiowa,21,1373,1529.5,831.52,0.00%
CO,Kit Carson,76,8195,927.39,655.02,0.00%
CO,La Plata,348,55623,625.64,594.67,0.01%
CO,Lake,43,7618,564.45,612.14,0.00%
CO,Larimer,2297,339993,675.6,623.39,0.08%
CO,Las Animas,188,14103,1333.05,924.74,0.01%
CO,Lincoln,56,5643,992.38,676.74,0.00%
CO,Logan,263,21919,1199.87,905.98,0.01%
CO,Mesa,1511,150083,1006.78,775.84,0.06%
CO,Mineral,10,732,Unreliable,Unreliable,0.00%
CO,Moffat,103,13109,785.72,745.5,0.00%
CO,Montezuma,260,26999,963,757.56,0.01%
CO,Montrose,445,41471,1073.04,691.43,0.02%
CO,Morgan,273,28274,965.55,768.23,0.01%
CO,Otero,219,18295,1197.05,832.68,0.01%
CO,Ouray,28,4857,576.49,434.02,0.00%
CO,Park,109,17166,634.98,682.09,0.00%
CO,Phillips,51,4288,1189.37,702.04,0.00%
CO,Pitkin,50,17752,281.66,255.37,0.00%
CO,Prowers,154,11922,1291.73,1036.81,0.01%
CO,Pueblo,1721,165123,1042.25,816.4,0.06%
CO,Rio Blanco,52,6545,794.5,693.2,0.00%
CO,Rio Grande,137,11479,1193.48,860.35,0.00%
CO,Routt,111,24648,450.34,486.42,0.00%
CO,Saguache,46,6389,719.99,633.95,0.00%
CO,San Juan,Suppressed,694,Suppressed,Suppressed,Suppressed
CO,San Miguel,24,8017,299.36,223.82,0.00%
CO,Sedgwick,31,2407,1287.91,647.16,0.00%
CO,Summit,65,30374,214,284.69,0.00%
CO,Teller,167,24043,694.59,624.94,0.01%
CO,Washington,60,4908,1222.49,754.44,0.00%
CO,Weld,1758,294932,596.07,662.85,0.06%
CO,Yuma,104,10103,1029.4,690.33,0.00%
CT,Fairfield,6899,944177,730.69,585.21,0.25%
CT,Hartford,7984,892389,894.68,676.89,0.29%
CT,Litchfield,1808,182571,990.3,662.35,0.07%
CT,Middlesex,1541,163329,943.49,641.43,0.06%
CT,New Haven,7745,856875,903.87,685.9,0.28%
