,State,County,Hospital,Number of Completed Surveys,FIPS
202,CO,Montezuma,1.0,246.0,08083
203,CO,Montrose,1.0,373.0,08085
204,CO,Morgan,2.0,336.0,08087
205,CO,Pitkin,1.0,180.0,08097
206,CO,Prowers,1.0,118.0,08099
207,CO,Pueblo,2.0,1359.0,08101
208,CO,Rio Blanco,2.0,50.0,08103
209,CO,Rio Grande,1.0,86.0,08105
210,CO,Routt,1.0,320.0,08107
211,CO,Summit,1.0,310.0,08117
212,CO,Teller,1.0,128.0,08119
213,CO,Weld,1.0,945.0,08123
214,CO,Yuma,2.0,117.0,08125
215,CT,Fairfield,6.0,5523.0,09001
216,CT,Hartford,8.0,10847.0,09003
217,CT,Litchfield,2.0,736.0,09005
218,CT,Middlesex,1.0,1509.0,09007
219,CT,New Haven,8.0,5062.0,09009
220,CT,New London,2.0,2627.0,09011
221,CT,Tolland,2.0,673.0,09013
222,CT,Windham,2.0,768.0,09015
223,DC,District Of Columbia,8.0,8352.0,11001
224,DE,Kent,1.0,830.0,10001
225,DE,New Castle,3.0,1629.0,10003
226,DE,Sussex,3.0,1525.0,10005
227,FL,Alachua,2.0,5883.0,12001
228,FL,Bay,2.0,2014.0,12005
229,FL,Bradford,1.0,219.0,12007
230,FL,Brevard,7.0,8363.0,12009
231,FL,Broward,14.0,21232.0,12011
232,FL,Charlotte,3.0,2942.0,12015
233,FL,Citrus,2.0,1759.0,12017
234,FL,Clay,2.0,2572.0,12019
235,FL,Collier,2.0,2684.0,12021
236,FL,Columbia,2.0,1406.0,12023
237,FL,De Soto,1.0,258.0,12027
238,FL,Duval,7.0,12495.0,12031
239,FL,Escambia,3.0,6767.0,12033
240,FL,Flagler,1.0,1616.0,12035
241,FL,Gulf,1.0,89.0,12045
242,FL,Hendry,1.0,61.0,12051
243,FL,Hernando,2.0,2511.0,12053
244,FL,Highlands,2.0,2517.0,12055
245,FL,Hillsborough,10.0,17694.0,12057
246,FL,Indian River,2.0,1916.0,12061
247,FL,Jackson,1.0,284.0,12063
248,FL,Lake,3.0,8452.0,12069
249,FL,Lee,4.0,12086.0,12071
250,FL,Leon,2.0,2065.0,12073
251,FL,Levy,1.0,166.0,12075
252,FL,Madison,1.0,55.0,12079
253,FL,Manatee,3.0,3957.0,12081
254,FL,Marion,2.0,4436.0,12083
255,FL,Martin,1.0,3859.0,12085
256,FL,Miami Dade,21.0,22097.0,12086
257,FL,Monroe,3.0,680.0,12087
258,FL,Nassau,1.0,382.0,12089
259,FL,Okaloosa,3.0,2142.0,12091
260,FL,Okeechobee,1.0,724.0,12093
261,FL,Orange,4.0,14833.0,12095
262,FL,Osceola,3.0,2218.0,12097
263,FL,Palm Beach,12.0,12537.0,12099
264,FL,Pasco,6.0,7340.0,12101
265,FL,Pinellas,11.0,18654.0,12103
266,FL,Polk,5.0,10709.0,12105
267,FL,Putnam,1.0,845.0,12107
268,FL,Saint Johns,1.0,707.0,12109
269,FL,Saint Lucie,2.0,2524.0,12111
270,FL,Santa Rosa,3.0,1715.0,12113
271,FL,Sarasota,4.0,7812.0,12115
272,FL,Seminole,2.0,1097.0,12117
273,FL,Sumter,1.0,3568.0,12119
274,FL,Suwannee,1.0,198.0,12121
275,FL,Taylor,1.0,132.0,12123
276,FL,Volusia,5.0,7987.0,12127
277,FL,Walton,2.0,1139.0,12131
278,FL,Washington,1.0,81.0,12133
279,GA,Appling,1.0,125.0,13001
280,GA,Bacon,1.0,239.0,13005
281,GA,Baldwin,1.0,451.0,13009
282,GA,Barrow,1.0,184.0,13013
283,GA,Bartow,1.0,1131.0,13015
284,GA,Ben Hill,1.0,181.0,13017
285,GA,Berrien,1.0,50.0,13019
286,GA,Bibb,3.0,2737.0,13021
287,GA,Brooks,1.0,71.0,13027
288,GA,Bulloch,1.0,681.0,13031
289,GA,Burke,1.0,59.0,13033
290,GA,Camden,1.0,273.0,13039
291,GA,Candler,1.0,126.0,13043
292,GA,Carroll,2.0,1359.0,13045
293,GA,Chatham,3.0,3229.0,13051
294,GA,Chattooga,1.0,665.0,13055
295,GA,Cherokee,1.0,1278.0,13057
296,GA,Clarke,2.0,2222.0,13059
297,GA,Clayton,1.0,490.0,13063
298,GA,Clinch,1.0,54.0,13065
299,GA,Cobb,2.0,4610.0,13067
300,GA,Coffee,1.0,405.0,13069
301,GA,Colquitt,2.0,376.0,13071
302,GA,Cook,1.0,50.0,13075
303,GA,Coweta,2.0,1455.0,13077
304,GA,Crisp,1.0,523.0,13081
305,GA,Decatur,1.0,342.0,13087
306,GA,Dekalb,4.0,1420.0,13089
307,GA,Dodge,1.0,178.0,13091
308,GA,Dougherty,1.0,1231.0,13095
309,GA,Douglas,1.0,549.0,13097
310,GA,Effingham,1.0,50.0,13103
311,GA,Elbert,1.0,110.0,13105
312,GA,Emanuel,1.0,163.0,13107
313,GA,Evans,1.0,121.0,13109
314,GA,Fannin,1.0,324.0,13111
315,GA,Fayette,1.0,1704.0,13113
316,GA,Floyd,2.0,2083.0,13115
317,GA,Forsyth,1.0,2367.0,13117
318,GA,Franklin,1.0,234.0,13119
319,GA,Fulton,8.0,12096.0,13121
320,GA,Glynn,1.0,469.0,13127
321,GA,Gordon,1.0,521.0,13129
322,GA,Grady,1.0,234.0,13131
323,GA,Greene,1.0,143.0,13133
324,GA,Gwinnett,2.0,2821.0,13135
325,GA,Habersham,1.0,276.0,13137
326,GA,Hall,1.0,3220.0,13139
327,GA,Haralson,1.0,156.0,13143
328,GA,Henry,1.0,1802.0,13151
329,GA,Houston,2.0,774.0,13153
330,GA,Irwin,1.0,55.0,13155
331,GA,Jackson,1.0,135.0,13157
332,GA,Jefferson,1.0,61.0,13163
333,GA,Lanier,1.0,50.0,13173
334,GA,Laurens,1.0,1001.0,13175
335,GA,Liberty,1.0,231.0,13179
336,GA,Lowndes,1.0,762.0,13185
337,GA,Lumpkin,1.0,64.0,13187
338,GA,Mcduffie,1.0,87.0,13189
339,GA,Miller,1.0,50.0,13201
340,GA,Mitchell,1.0,62.0,13205
341,GA,Monroe,1.0,50.0,13207
342,GA,Morgan,1.0,90.0,13211
343,GA,Murray,1.0,93.0,13213
344,GA,Muscogee,3.0,2740.0,13215
345,GA,Newton,1.0,644.0,13217
346,GA,Paulding,1.0,591.0,13223
347,GA,Peach,1.0,166.0,13225
348,GA,Pickens,1.0,549.0,13227
349,GA,Polk,1.0,171.0,13233
350,GA,Pulaski,1.0,194.0,13235
351,GA,Putnam,1.0,63.0,13237
352,GA,Rabun,1.0,74.0,13241
353,GA,Randolph,1.0,50.0,13243
354,GA,Richmond,4.0,3869.0,13245
355,GA,Rockdale,1.0,495.0,13247
356,GA,Seminole,1.0,129.0,13253
357,GA,Spalding,1.0,528.0,13255
358,GA,Stephens,1.0,272.0,13257
359,GA,Sumter,1.0,345.0,13261
360,GA,Thomas,1.0,640.0,13275
361,GA,Tift,1.0,964.0,13277
362,GA,Toombs,1.0,362.0,13279
