State,County,Hospital,Number of Completed Surveys
KS,Clay,1,171
KS,Cloud,1,50
KS,Cowley,2,376
KS,Crawford,2,642
KS,Dickinson,2,131
KS,Douglas,1,1085
KS,Ellis,1,691
KS,Ellsworth,1,79
KS,Finney,1,347
KS,Ford,1,366
KS,Franklin,1,237
KS,Geary,1,183
KS,Gove,1,61
KS,Graham,1,50
KS,Grant,1,50
KS,Greenwood,1,82
KS,Harper,2,50
KS,Harvey,1,337
KS,Hodgeman,1,50
KS,Jackson,1,51
KS,Johnson,10,7156
KS,Kearny,1,94
KS,Kingman,1,90
KS,Labette,2,453
KS,Leavenworth,2,353
KS,Lyon,1,373
KS,Marion,2,50
KS,Marshall,1,85
KS,Mcpherson,3,289
KS,Meade,1,62
KS,Miami,1,147
KS,Mitchell,1,267
KS,Montgomery,1,293
KS,Morton,1,52
KS,Nemaha,2,111
KS,Neosho,1,337
KS,Norton,1,51
KS,Osborne,1,58
KS,Ottawa,1,50
KS,Phillips,1,50
KS,Pottawatomie,2,140
KS,Pratt,1,274
KS,Reno,2,787
KS,Republic,1,119
KS,Rice,1,50
KS,Riley,2,1245
KS,Rooks,1,83
KS,Russell,1,50
KS,Saline,2,1653
KS,Scott,1,50
KS,Sedgwick,6,8932
KS,Seward,1,400
KS,Shawnee,2,3930
KS,Sheridan,1,50
KS,Smith,1,133
KS,Sumner,2,100
KS,Thomas,1,118
KS,Trego,1,50
KS,Wilson,2,118
KS,Wyandotte,2,3819
KY,Allen,1,80
KY,Barren,1,411
KY,Bell,2,164
KY,Boone,1,1264
KY,Bourbon,1,116
KY,Boyd,2,1138
KY,Boyle,1,545
KY,Breathitt,1,295
KY,Breckinridge,1,115
KY,Caldwell,1,56
KY,Calloway,1,527
KY,Campbell,1,1231
KY,Carroll,1,63
KY,Casey,1,190
KY,Christian,1,766
KY,Clark,1,394
KY,Clay,1,150
KY,Clinton,1,138
KY,Crittenden,1,108
KY,Cumberland,1,148
KY,Daviess,1,1608
KY,Estill,1,128
KY,Fayette,4,5518
KY,Fleming,1,194
KY,Floyd,3,512
KY,Franklin,1,964
KY,Grant,1,61
KY,Graves,1,419
KY,Grayson,1,293
KY,Green,1,94
KY,Hardin,1,638
KY,Harlan,1,359
KY,Harrison,1,254
KY,Hart,1,50
KY,Henderson,1,328
KY,Hopkins,1,665
KY,Jefferson,4,12067
KY,Johnson,1,278
KY,Kenton,1,3749
KY,Knox,2,631
KY,Laurel,1,1079
KY,Lawrence,1,339
KY,Letcher,1,353
KY,Lincoln,1,83
KY,Livingston,1,131
KY,Logan,1,220
KY,Madison,2,623
KY,Marion,1,193
KY,Marshall,1,120
KY,Mason,1,400
KY,Mccracken,2,2025
KY,Mercer,1,87
KY,Monroe,1,241
KY,Montgomery,1,187
KY,Muhlenberg,1,161
KY,Nelson,1,380
KY,Ohio,1,187
KY,Oldham,1,347
KY,Perry,1,724
KY,Pike,2,2136
KY,Pulaski,1,573
KY,Rockcastle,1,113
KY,Rowan,1,427
KY,Russell,1,105
KY,Scott,1,423
KY,Shelby,1,205
KY,Simpson,1,161
KY,Taylor,1,424
KY,Trigg,1,50
KY,Union,1,95
KY,Warren,2,1417
KY,Wayne,1,102
KY,Woodford,1,76
LA,Acadia,2,398
LA,Allen,2,114
LA,Ascension,2,385
LA,Avoyelles,2,117
LA,Beauregard,1,336
LA,Bossier,1,632
LA,Caddo,6,5102
LA,Calcasieu,5,2018
LA,Caldwell,2,322
LA,Claiborne,1,100
LA,De Soto,1,83
LA,East Baton Rouge,7,5796
LA,East Carroll,1,154
LA,Evangeline,2,643
LA,Franklin,1,66
LA,Iberia,1,328
LA,Jackson,1,80
LA,Jefferson,5,6150
LA,Jefferson Davis,1,383
LA,La Salle,2,133
LA,Lafayette,8,3994
LA,Lafourche,3,601
LA,Lincoln,1,613
LA,Morehouse,1,209
LA,Natchitoches,1,297
LA,Orleans,6,4186
LA,Ouachita,5,2115
LA,Rapides,3,2252
LA,Richland,2,177
LA,Sabine,1,79
LA,Saint Bernard,1,169
LA,Saint Charles,1,136
LA,Saint James,1,75
LA,Saint Landry,1,487
LA,Saint Martin,1,74
LA,Saint Mary,2,410
LA,Saint Tammany,7,3857
LA,Tangipahoa,4,748
LA,Terrebonne,3,1087
LA,Union,2,50
LA,Vermilion,2,220
LA,Vernon,2,539
LA,Washington,2,199
LA,Webster,2,570
LA,West Carroll,1,169
LA,Winn,1,106
MA,Barnstable,2,4066
MA,Berkshire,2,695
MA,Bristol,4,4116
MA,Dukes,1,175
MA,Essex,5,6219
MA,Franklin,1,316
MA,Hampden,6,6249
MA,Hampshire,1,563
MA,Middlesex,11,12878
MA,Nantucket,1,91
MA,Norfolk,4,2641
MA,Plymouth,3,2706
MA,Suffolk,13,17086
MA,Worcester,9,4688
MD,Allegany,1,2081
MD,Anne Arundel,2,1763
MD,Baltimore,5,2469
MD,Baltimore City,14,10745
MD,Calvert,1,476
MD,Carroll,1,502
MD,Cecil,1,502
MD,Charles,1,576
MD,Frederick,1,1853
MD,Garrett,1,449
MD,Harford,2,1021
MD,Howard,1,2402
MD,Kent,1,241
MD,Montgomery,6,7445
MD,Prince Georges,5,2833
MD,Saint Marys,1,500
MD,Somerset,1,50
MD,Talbot,1,916
MD,Washington,1,733
MD,Wicomico,1,769
MD,Worcester,1,617
ME,Androscoggin,2,1189
ME,Aroostook,4,1161
ME,Cumberland,4,1536
ME,Franklin,1,362
ME,Hancock,3,797
ME,Kennebec,2,941
ME,Knox,1,495
ME,Lincoln,1,405
ME,Oxford,2,367
ME,Penobscot,4,2921
ME,Piscataquis,2,283
ME,Somerset,2,416
ME,Waldo,1,246
ME,Washington,2,275
ME,York,2,1674
MI,Alger,1,50
MI,Allegan,1,235
MI,Alpena,1,670
MI,Arenac,1,178
MI,Baraga,1,86
MI,Barry,1,573
MI,Bay,1,889
MI,Berrien,2,2142
MI,Branch,1,410
MI,Calhoun,2,747
MI,Cass,1,76
MI,Charlevoix,1,283
MI,Chippewa,1,375
MI,Clare,1,280
MI,Clinton,1,211
MI,Crawford,1,673
MI,Delta,1,397
MI,Dickinson,1,323
MI,Eaton,2,350
MI,Emmet,1,852
MI,Genesee,3,5638
MI,Gladwin,1,140
MI,Gogebic,1,190
MI,Grand Traverse,1,409
MI,Gratiot,1,566
MI,Hillsdale,1,303
MI,Houghton,2,566
MI,Huron,3,516
MI,Ingham,2,3819
MI,Ionia,1,206
MI,Iosco,1,328
MI,Iron,1,179
MI,Isabella,1,613
MI,Jackson,1,1927
MI,Kalamazoo,2,2516
MI,Kent,3,5107
MI,Lapeer,1,735
MI,Lenawee,2,410
MI,Livingston,2,593
MI,Luce,1,93
MI,Mackinac,1,139
MI,Macomb,4,4198
MI,Manistee,1,424
MI,Marquette,2,946
MI,Mason,1,518
MI,Mecosta,1,354
MI,Midland,1,873
MI,Monroe,1,344
MI,Montcalm,4,763
MI,Muskegon,1,3914
MI,Newaygo,1,424
MI,Oakland,12,11889
MI,Oceana,1,90
MI,Ogemaw,1,338
MI,Ontonagon,1,50
MI,Osceola,1,142
MI,Otsego,1,409
MI,Ottawa,3,1235
MI,Saginaw,3,2121
MI,Saint Clair,3,1980
MI,Saint Joseph,2,481
MI,Sanilac,3,169
MI,Schoolcraft,1,180
MI,Shiawassee,1,525
MI,Tuscola,2,193
MI,Van Buren,2,281
MI,Washtenaw,4,4247
MI,Wayne,15,11500
MI,Wexford,1,331
MN,Aitkin,1,318
MN,Anoka,1,621
MN,Becker,1,405
MN,Beltrami,2,465
MN,Big Stone,2,81
MN,Blue Earth,1,391
MN,Brown,3,480
MN,Carlton,2,361
MN,Carver,1,410
MN,Chippewa,1,154
MN,Chisago,1,637
MN,Cottonwood,2,88
MN,Crow Wing,2,1136
MN,Dakota,3,1439
MN,Douglas,1,511
MN,Faribault,1,89
MN,Freeborn,1,417
MN,Goodhue,2,431
MN,Hennepin,10,5599
MN,Hubbard,1,283
MN,Isanti,1,463
MN,Itasca,3,487
MN,Kanabec,1,247
MN,Kandiyohi,1,490
MN,Koochiching,1,94
MN,Lac Qui Parle,2,116
MN,Lake,1,93
MN,Lincoln,2,50
MN,Lyon,2,280
MN,Martin,1,297
MN,Mcleod,2,590
MN,Meeker,1,187
MN,Mille Lacs,1,120
MN,Morrison,1,294
MN,Murray,1,113
MN,Nicollet,1,418
MN,Nobles,1,204
MN,Olmsted,2,1033
MN,Otter Tail,2,682
MN,Pennington,1,244
MN,Pine,1,50
MN,Pipestone,1,75
MN,Polk,2,369
MN,Pope,1,178
MN,Ramsey,5,2915
MN,Redwood,1,127
MN,Renville,1,113
MN,Rice,1,280
MN,Rock,1,86
MN,Roseau,1,170
MN,Saint Louis,8,3388
MN,Scott,2,594
MN,Sherburne,1,406
MN,Stearns,4,2681
MN,Steele,1,585
MN,Stevens,1,284
MN,Swift,2,95
MN,Todd,2,341
MN,Wabasha,2,172
MN,Wadena,1,167
MN,Waseca,1,74
MN,Washington,2,1792
MN,Watonwan,2,102
MN,Wilkin,1,110
MN,Winona,1,325
MN,Wright,2,892
MN,Yellow Medicine,2,150
MO,Adair,1,560
MO,Atchison,1,80
MO,Audrain,1,297
MO,Barry,2,211
MO,Barton,1,155
MO,Bates,1,144
MO,Boone,2,2483
MO,Buchanan,1,442
MO,Butler,2,667
MO,Camden,1,626
MO,Cape Girardeau,2,3465
MO,Carroll,1,50
MO,Cass,2,650
MO,Cedar,1,67
MO,Clay,3,3901
MO,Clinton,1,231
MO,Cole,2,722
MO,Crawford,1,304
MO,Dent,1,99
MO,Dunklin,1,221
MO,Franklin,1,1299
MO,Greene,2,7106
MO,Grundy,1,88
MO,Harrison,1,52
MO,Henry,1,342
MO,Howell,2,600
MO,Jackson,10,9103
MO,Jasper,3,3455
MO,Jefferson,2,2050
MO,Johnson,1,271
MO,Laclede,1,575
MO,Lafayette,1,141
MO,Lawrence,1,161
MO,Lincoln,1,127
MO,Livingston,1,254
MO,Marion,1,647
MO,New Madrid,1,436
MO,Nodaway,1,214
MO,Pemiscot,1,94
MO,Perry,1,298
MO,Pettis,1,842
MO,Phelps,1,336
MO,Pike,1,114
MO,Platte,1,537
MO,Polk,1,614
MO,Randolph,1,222
MO,Ray,1,119
MO,Ripley,1,50
MO,Saint Charles,4,1937
MO,Saint Francois,2,442
MO,Saint Louis,10,14680
MO,Saint Louis City,5,2042
MO,Sainte Genevieve,1,169
MO,Saline,2,332
MO,Scotland,1,83
MO,Stoddard,1,123
MO,Taney,1,751
MO,Texas,1,210
MO,Vernon,1,136
MO,Washington,1,82
MS,Adams,1,660
MS,Alcorn,1,510
MS,Attala,1,53
MS,Bolivar,1,498
MS,Chickasaw,1,50
MS,Choctaw,1,69
MS,Claiborne,1,50
MS,Clarke,1,50
MS,Clay,1,112
MS,Coahoma,1,503
MS,Covington,1,50
MS,Desoto,2,1015
MS,Forrest,2,2904
MS,George,1,194
MS,Greene,1,50
MS,Grenada,1,187
MS,Hancock,1,151
MS,Harrison,3,1606
MS,Hinds,5,4315
MS,Holmes,1,50
MS,Jackson,1,1319
MS,Jefferson Davis,1,50
MS,Jones,1,500
MS,Kemper,1,50
MS,Lafayette,1,819
MS,Lauderdale,4,1371
MS,Lawrence,1,65
MS,Leake,1,112
MS,Lee,1,1900
MS,Leflore,1,403
MS,Lincoln,1,496
MS,Lowndes,1,829
MS,Madison,1,227
MS,Marion,1,139
MS,Marshall,1,50
MS,Monroe,2,385
MS,Montgomery,1,50
MS,Neshoba,3,231
MS,Oktibbeha,1,340
MS,Panola,1,247
MS,Pearl River,2,151
MS,Pike,2,855
MS,Prentiss,1,103
MS,Rankin,4,1211
MS,Scott,2,139
MS,Sharkey,1,53
MS,Simpson,2,165
MS,Stone,1,50
